product_name,category,total_sales,total_profit
GBC ProClick 150 Presentation Binding System,Office Supplies,3222.99,-461.32
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,2032.35,-460.67
"Bevis Traditional Conference Table Top, Plinth Base",Furniture,2033.50,-456.71
Chromcraft Rectangular Conference Tables,Furniture,4952.67,-450.24
Swingline SM12-08 MicroCut Jam Free Shredder,Technology,2359.95,-447.99
Bevis Boat-Shaped Conference Table,Furniture,2542.47,-445.60
Novimex Swivel Fabric Task Chair,Furniture,2913.92,-445.39
Okidata MB491 Multifunction Printer,Technology,2844.30,-434.13
Premier Automatic Letter Opener,Office Supplies,2836.36,-427.86
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,1014.18,-418.55
Riverside Furniture Stanwyck Manor Table Series,Furniture,917.92,-415.93
GBC VeloBinder Electric Binding Machine,Office Supplies,496.02,-411.33
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Furniture,5098.17,-404.00
Hon 2111 Invitation Series Corner Table,Furniture,3140.56,-402.00
"Iceberg OfficeWorks 42"" Round Tables",Furniture,3457.44,-392.56
LG G2,Technology,1499.97,-374.99
Balt Split Level Computer Training Table,Furniture,1040.63,-357.98
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,1623.25,-343.10
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,Technology,2027.31,-339.71
Fellowes Officeware Wire Shelving,Office Supplies,4509.47,-332.36
"Lesro Round Back Collection Coffee Table, End Table",Furniture,2847.79,-328.59
Bretford Rectangular Conference Table Tops,Furniture,12995.28,-327.25
Euro Pro Shark Stick Mini Vacuum,Office Supplies,170.74,-325.64
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",Technology,341.99,-319.19
Ibico Hi-Tech Manual Binding System,Office Supplies,5398.30,-304.97
Hon Rectangular Conference Tables,Furniture,3481.52,-295.81
Sauder Barrister Bookcases,Furniture,754.73,-294.77
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,1646.92,-285.95
Okidata C610n Printer,Technology,649.00,-272.58
"Eldon ""L"" Workstation Diamond Chairmat",Furniture,1002.93,-267.45
High Speed Automatic Electric Letter Opener,Office Supplies,17030.31,-262.00
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,1200.93,-256.56
Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,2519.96,-252.00
Okidata B401 Printer,Technology,179.99,-251.99
Global Low Back Tilter Chair,Furniture,1746.95,-246.38
Catalog Binders with Expanding Posts,Office Supplies,1089.93,-242.21
Hon 5100 Series Wood Tables,Furniture,5965.08,-238.62
Office Star Flex Back Scooter Chair with White Frame,Furniture,1775.67,-228.60
KI Adjustable-Height Table,Furniture,2764.24,-226.14
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,763.67,-222.73
Safco Industrial Wire Shelving System,Office Supplies,2511.04,-218.36
Global Deluxe Steno Chair,Furniture,1770.53,-216.29
Balt Solid Wood Rectangular Table,Furniture,828.10,-216.25
LG Exalt,Technology,1154.32,-212.15
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,3626.02,-208.64
Laminate Occasional Tables,Furniture,2096.17,-206.54
"Premier Elliptical Ring Binder, Black",Office Supplies,526.61,-201.51
High-Back Leather Manager's Chair,Furniture,4770.65,-197.59
"Bevis Round Bullnose 29"" High Table Top",Furniture,4544.93,-192.19
Hon 4-Shelf Metal Bookcases,Furniture,1474.31,-191.85
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,90.88,-190.85
Chromcraft Round Conference Tables,Furniture,8209.07,-189.99
"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,1400.26,-179.66
"Hon 30"" x 60"" Table with Locking Drawer",Furniture,1296.03,-177.35
Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,Office Supplies,299.20,-177.23
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,2064.22,-173.14
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,2299.74,-172.95
Epson Perfection V600 Photo Scanner,Technology,206.99,-172.49
O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,2904.16,-170.84
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,3178.13,-167.27
"Global Geo Office Task Chair, Gray",Furniture,1757.26,-166.02
Cisco 8961 IP Phone Charcoal,Technology,224.94,-164.95
Bevis 44 x 96 Conference Tables,Furniture,3253.22,-164.71
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,694.20,-158.49
Global Deluxe High-Back Office Chair in Storm,Furniture,1087.92,-149.60
Hon 61000 Series Interactive Training Tables,Furniture,653.12,-148.40
"Bush Andora Conference Table, Maple/Graphite Gray Finish",Furniture,1436.24,-143.62
Novimex High-Tech Fabric Mesh Task Chair,Furniture,922.74,-133.44
O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,723.85,-133.11
Novimex Fabric Task Chair,Furniture,1890.39,-131.13
Office Star - Mesh Screen back chair with Vinyl seat,Furniture,2200.46,-130.98
Tenex Chairmats For Use with Hard Floors,Furniture,467.71,-129.93
Samsung Galaxy Note 2,Technology,4507.90,-128.80
Safco Industrial Wire Shelving,Office Supplies,1363.06,-126.70
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,5184.10,-126.43
"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,935.20,-125.74
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,1115.63,-125.18
Carina Media Storage Towers in Natural & Black,Office Supplies,1073.25,-121.96
Belkin F9S820V06 8 Outlet Surge,Office Supplies,266.33,-120.17
Cisco IP Phone 7961G-GE VoIP phone,Technology,2252.44,-119.12
"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,825.17,-117.88
Hon 2111 Invitation Series Straight Table,Furniture,2040.06,-115.31
"Global Leather & Oak Executive Chair, Burgundy",Furniture,1689.97,-114.67
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,289.45,-113.78
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,400.02,-113.26
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,1304.13,-111.32
"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,1635.79,-110.14
Tennsco Industrial Shelving,Office Supplies,1281.45,-108.60
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Furniture,1088.64,-104.82
Safco Industrial Shelving,Office Supplies,827.12,-104.12
Sauder Camden County Collection Library,Furniture,1368.26,-103.49
Acco D-Ring Binder w/DublLock,Office Supplies,235.18,-102.84
"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,649.38,-97.40
Motorola HK250 Universal Bluetooth Headset,Technology,832.24,-91.49
GBC Linen Binding Covers,Office Supplies,207.57,-82.41
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Office Supplies,834.60,-82.15
Sauder Cornerstone Collection Library,Furniture,322.19,-81.17
"Global Task Chair, Black",Furniture,463.10,-80.41
O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,2970.07,-78.64
Eldon Executive Woodline II Cherry Finish Desk Accessories,Furniture,98.13,-78.51
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,1072.34,-78.36
"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,1909.82,-78.20
Sensible Storage WireTech Storage Systems,Office Supplies,2484.31,-78.06
Fellowes Command Center 5-outlet power strip,Office Supplies,664.83,-78.02
Space Solutions Commercial Steel Shelving,Office Supplies,1952.43,-74.33
Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,Technology,101.99,-71.40
Rush Hierlooms Collection Rich Wood Bookcases,Furniture,489.38,-70.83
"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,1875.04,-70.50
Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,197.17,-69.57
"Carina Mini System Audio Rack, Model AR050B",Office Supplies,2730.11,-68.80
GBC Plasticlear Binding Covers,Office Supplies,68.88,-68.43
"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,1912.31,-68.11
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,5801.82,-66.83
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,953.81,-63.59
i.Sound Portable Power - 8000 mAh,Technology,413.31,-58.83
V7 USB Numeric Keypad,Technology,461.87,-58.78
"Contico 72""H Heavy-Duty Storage System",Office Supplies,598.31,-57.37
Compact Automatic Electric Letter Opener,Office Supplies,2982.75,-57.28
Bush Somerset Collection Bookcase,Furniture,1263.96,-56.33
Fellowes Econo/Stor Drawers,Office Supplies,581.58,-56.22
OtterBox Commuter Series Case - Samsung Galaxy S4,Technology,384.84,-55.98
Cisco CP-7937G Unified IP Conference Station Phone,Technology,1391.40,-55.66
"Eldon Base for stackable storage shelf, platinum",Office Supplies,872.26,-52.57
iOttie XL Car Mount,Technology,223.89,-50.37
Clearsounds A400,Technology,488.33,-48.83
Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,2586.19,-48.80
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,Furniture,379.40,-48.78
Tennsco Commercial Shelving,Office Supplies,374.25,-48.60
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,Technology,329.94,-48.59
"Belkin 19"" Center-Weighted Shelf, Gray",Office Supplies,849.31,-47.19
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",Furniture,180.46,-46.40
"Iris 3-Drawer Stacking Bin, Black",Office Supplies,284.11,-43.45
Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furniture,344.10,-42.18
Office Star - Ergonomically Designed Knee Chair,Furniture,1311.88,-42.11
"Tenex ""The Solids"" Textured Chair Mats",Furniture,1469.16,-40.57
36X48 HARDFLOOR CHAIRMAT,Furniture,369.25,-40.49
Insertable Tab Post Binder Dividers,Office Supplies,66.57,-39.69
Bevis Round Conference Room Tables and Bases,Furniture,519.94,-39.44
Mediabridge Sport Armband iPhone 5s,Technology,257.75,-38.95
Kensington 6 Outlet SmartSocket Surge Protector,Office Supplies,147.53,-36.88
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,4384.04,-36.54
Hon Comfortask Task/Swivel Chairs,Furniture,1686.90,-36.47
Rogers Deluxe File Chest,Office Supplies,444.00,-34.72
Novimex Turbo Task Chair,Furniture,1341.51,-32.66
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",Technology,472.86,-32.26
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Technology,147.92,-31.99
Samsung Convoy 3,Technology,688.14,-31.08
Macally Suction Cup Mount,Technology,279.63,-31.07
Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,1187.56,-30.22
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,258.72,-27.17
"Hon Metal Bookcases, Black",Furniture,1570.08,-26.96
"Tennsco Lockers, Gray",Office Supplies,402.81,-26.43
"SAFCO Commercial Wire Shelving, 72h",Office Supplies,1445.26,-24.50
Anker Astro 15000mAh USB Portable Charger,Technology,599.88,-23.99
GBC VeloBinder Strips,Office Supplies,52.99,-23.81
Avery Durable Slant Ring Binders,Office Supplies,51.48,-23.76
Panasonic KX MC6040 Color Laser Multifunction Printer,Technology,1619.82,-22.50
KI Adjustable-Height Table,Furniture,1788.38,-22.36
Stiletto Hand Letter Openers,Office Supplies,136.32,-21.99
Plantronics Single Ear Headset,Technology,29.93,-21.95
"Global Armless Task Chair, Royal Blue",Furniture,1396.44,-20.73
Texas Instrument TI-15 Fraction Calculator,Technology,41.91,-20.52
Cyber Acoustics AC-202b Speech Recognition Stereo Headset,Technology,119.51,-20.52
Space Solutions Industrial Galvanized Steel Shelving.,Office Supplies,520.08,-20.49
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,303.36,-20.47
"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,1426.88,-20.29
Accohide Poly Flexible Ring Binders,Office Supplies,43.75,-19.83
Wilson Jones Custom Binder Spines & Labels,Office Supplies,41.35,-19.69
Logitech Keyboard K120,Technology,174.24,-19.60
Okidata C610n Printer,Technology,1362.90,-19.47
Large Capacity Hanging Post Binders,Office Supplies,276.95,-19.46
GBC Wire Binding Strips,Office Supplies,212.66,-18.41
Speck Products Candyshell Flip Case,Technology,188.94,-18.20
Fellowes Neat Ideas Storage Cubes,Office Supplies,480.70,-18.18
Anderson Hickey Conga Table Tops & Accessories,Furniture,51.78,-17.51
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Office Supplies,823.25,-17.03
"Electrix Incandescent Magnifying Lamp, Black",Furniture,117.28,-16.49
Avery Reinforcements for Hole-Punch Pages,Office Supplies,28.52,-16.15
Avery Durable Poly Binders,Office Supplies,82.95,-15.59
ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,216.96,-15.58
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,Technology,467.92,-14.62
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,137.81,-14.42
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,63.64,-13.90
Avery Non-Stick Binders,Office Supplies,75.42,-13.46
XtraLife ClearVue Slant-D Ring Binders by Cardinal,Office Supplies,72.91,-13.33
Motorola L804,Technology,607.06,-13.33
GBC ProClick Spines for 32-Hole Punch,Office Supplies,66.41,-13.28
Martin-Yale Premier Letter Opener,Office Supplies,236.99,-12.88
Fellowes Bankers Box Stor/Drawer Steel Plus,Office Supplies,1426.31,-12.80
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,119.83,-12.69
Cardinal Hold-It CD Pocket,Office Supplies,38.30,-12.46
GBC Instant Index System for Binding Systems,Office Supplies,71.93,-12.43
O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,540.80,-12.29
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,2298.12,-12.14
Case Logic 2.4GHz Wireless Keyboard,Technology,1229.76,-11.99
iOttie HLCRIO102 Car Mount,Technology,215.89,-11.99
Gear Head AU3700S Headset,Technology,189.65,-11.95
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,102.62,-11.87
GBC Personal VeloBind Strips,Office Supplies,156.92,-11.27
Dana Swing-Arm Lamps,Furniture,108.93,-11.22
Avaya 5410 Digital phone,Technology,625.50,-10.88
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Office Supplies,91.68,-10.41
"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,197.61,-10.36
Pressboard Hanging Data Binders for Unburst Sheets,Office Supplies,112.68,-10.13
Shocksock Galaxy S4 Armband,Technology,63.51,-10.07
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,858.86,-9.95
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,Office Supplies,1023.35,-9.31
"GBC Velobind Prepunched Cover Sets, Regency Series",Office Supplies,661.94,-9.24
"Sauder Facets Collection Library, Sky Alder Finish",Furniture,1427.69,-8.55
"Wilson Jones 1"" Hanging DublLock Ring Binders",Office Supplies,117.75,-8.55
Acco Side-Punched Conventional Columnar Pads,Office Supplies,41.64,-7.80
Eldon Shelf Savers Cubes and Bins,Office Supplies,300.14,-7.66
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,262.76,-7.62
Safco Commercial Shelving,Office Supplies,483.71,-7.44
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,Office Supplies,448.91,-7.05
Avery Hidden Tab Dividers for Binding Systems,Office Supplies,31.59,-7.04
Akro Stacking Bins,Office Supplies,91.52,-6.93
Plantronics MX500i Earset,Technology,618.48,-6.42
Sterilite Show Offs Storage Containers,Office Supplies,78.14,-6.34
Staple remover,Office Supplies,80.22,-6.31
Tennsco Regal Shelving Units,Office Supplies,1764.53,-6.08
Telescoping Adjustable Floor Lamp,Furniture,143.92,-5.99
Acco Economy Flexible Poly Round Ring Binder,Office Supplies,11.48,-5.74
Revere Boxed Rubber Bands by Revere,Office Supplies,48.00,-5.71
UniKeep View Case Binders,Office Supplies,28.84,-5.48
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,25.82,-4.93
Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,38.64,-4.88
"Rogers Jumbo File, Granite",Office Supplies,317.77,-4.88
Eldon 100 Class Desk Accessories,Furniture,36.39,-4.84
Insertable Tab Indexes For Data Binders,Office Supplies,17.49,-4.83
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,1.62,-4.47
Fellowes Black Plastic Comb Bindings,Office Supplies,102.26,-4.42
Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,23.86,-4.12
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Office Supplies,54.47,-3.89
Staple remover,Office Supplies,29.65,-3.85
Sterling Rubber Bands by Alliance,Office Supplies,19.78,-3.77
Acco 6 Outlet Guardian Basic Surge Suppressor,Office Supplies,38.27,-3.66
Acme Rosewood Handle Letter Opener,Office Supplies,43.67,-3.49
Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,77.24,-3.29
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,3028.65,-3.23
"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,182.52,-3.21
GBC Standard Plastic Binding Systems Combs,Office Supplies,55.76,-2.93
"Stacking Tray, Side-Loading, Legal, Smoke",Furniture,46.59,-2.86
"Super Bands, 12/Pack",Office Supplies,33.48,-2.60
Hoover Commercial Lightweight Upright Vacuum,Office Supplies,18.09,-2.51
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,269.41,-2.27
Avery Self-Adhesive Photo Pockets for Polaroid Photos,Office Supplies,143.01,-2.19
PNY Rapid USB Car Charger - Black,Technology,9.59,-2.08
Kingston Digital DataTraveler 8GB USB 2.0,Technology,44.03,-2.03
Computer Printout Index Tabs,Office Supplies,11.08,-2.02
Storex Flexible Poly Binders with Double Pockets,Office Supplies,10.83,-2.00
Angle-D Ring Binders,Office Supplies,39.38,-1.97
Penpower WorldCard Pro Card Scanner,Technology,91.48,-1.83
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",Furniture,97.81,-1.77
Acme Serrated Blade Letter Opener,Office Supplies,13.99,-1.75
SanDisk Cruzer 8 GB USB Flash Drive,Technology,27.17,-1.36
"Executive Impressions 16-1/2"" Circular Wall Clock",Furniture,58.78,-1.07
Round Ring Binders,Office Supplies,29.95,-0.92
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Office Supplies,99.81,-0.70
Eldon Gobal File Keepers,Office Supplies,348.22,-0.60
"Brites Rubber Bands, 1 1/2 oz. Box",Office Supplies,13.07,-0.51
Rubber Band Ball,Office Supplies,58.34,-0.31
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Office Supplies,62.95,-0.16
Global Super Steno Chair,Furniture,2389.90,-0.01
"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,314.54,-0.01
